id,journal_id,emotion_id
95,92,4
96,93,5
97,94,4
98,95,5
99,96,3
100,97,3
101,98,3
102,99,5
103,100,5
104,101,5
105,102,5
106,103,4
107,104,4
108,105,5
109,106,4
110,107,5
111,108,4
112,109,4
113,110,4
114,111,4
115,112,4
116,113,4
117,114,4
118,115,4
119,116,5
120,117,4
121,118,3
122,119,5
123,120,5
124,121,3
125,122,3
126,123,4
127,124,3
128,125,3
129,126,5
130,127,5
131,128,3
132,129,5
133,130,4
134,131,3
135,132,4
136,133,5
137,134,4
138,135,5
139,136,4
140,137,5
141,138,4
142,139,5
143,140,4
144,141,5
145,142,5
146,143,4
147,144,3
148,145,3
149,146,5
150,147,5
151,148,5
152,149,5
153,150,5
154,151,5
155,152,5
156,153,4
157,154,4
158,155,5
159,156,3
160,157,5
161,158,4
162,159,4
163,160,3
164,161,5
165,162,4
166,163,4
167,164,3
168,165,4
169,166,3
170,167,4
171,168,3
172,169,4
173,170,4
174,171,5
175,172,3
176,173,4
177,174,4
178,175,5
179,176,5
180,177,5
181,178,5
182,179,5
183,180,5
184,181,5
185,182,5
186,183,3
187,184,5
188,185,3
189,186,4
190,187,4
191,188,4
192,189,4
193,190,6
194,191,5
195,192,6
196,193,7
197,194,4
198,195,6
199,196,4
200,197,4
201,198,6
202,199,4
203,200,7
204,201,4
205,202,5
206,203,4
207,204,7
208,205,4
209,206,6
210,207,4
211,208,4
212,209,4
213,210,4
214,211,4
215,212,4
216,213,4
217,214,4
218,215,5
219,216,5
220,217,4
221,218,4
222,219,4
223,220,4
224,221,4
225,222,4
226,223,4
227,224,5
228,225,5
229,226,4
230,227,4
231,228,4
232,229,4
233,230,5
234,231,3
235,232,5
236,233,5
237,234,5
238,235,5
239,236,3
240,237,5
241,238,4
242,239,5
243,240,5
244,241,4
245,242,5
246,243,4
247,244,5
248,245,4
249,246,5
250,247,4
251,248,4
252,249,4
253,250,4
254,251,4
255,252,4
256,253,4
257,254,4
258,255,5
259,256,4
260,257,4
261,258,5
262,259,4
263,260,4
264,261,4
265,262,5
266,263,7
267,264,4
268,265,4
269,266,4
270,267,4
271,268,7
272,269,7
273,270,7
274,271,7
275,272,7
276,273,4
277,274,5
278,275,4
279,276,4
280,277,5
281,278,5
282,279,5
283,280,4
284,281,5
285,282,4
286,283,5
287,284,5
288,285,5
289,286,4
290,287,4
291,288,7
292,289,7
293,290,4
294,291,4
295,292,4
296,293,7
297,294,4
298,295,4
299,296,4
300,297,4
301,298,7
302,299,4
303,300,7
304,301,7
305,302,7
306,303,4
307,304,4
308,305,4
309,306,5
310,307,4
311,308,5
312,309,4
313,310,4
314,311,4
315,312,7
316,313,7
317,314,7
318,315,4
319,316,7
320,317,4
321,318,4
322,319,4
323,320,4
324,321,7
325,322,7
326,323,4
327,324,4
328,325,4
329,326,5
330,327,5
331,328,5
332,329,3
333,330,3
334,331,3
335,332,3
336,333,5
337,334,5
338,335,5
339,336,4
340,337,5
341,338,4
342,339,5
343,340,5
344,341,4
345,342,4
