id,audio_file_path,journal_text,sentiment_analysis_result,upload_date,user_id_id,title
92,exercises/1/2024_09_20/Landmark_1_brian.mp3,"It was heartwarming to see a patient smile after weeks of treatment. They mentioned feeling truly cared for, and moments like these remind me of the purpose behind every compassionate gesture.",Positive,2024-09-14 14:59:58,10,Negative Journal 92
93,exercises/1/2024_09_20/Landmark_1_brian.mp3,"A patient’s family thanked me today, saying that my care helped their loved one’s progressive recovery. Knowing I’m trusted means everything.",Positive,2024-08-31 20:52:50,10,Negative Journal 93
94,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, I received positive feedback from a patient who felt genuinely satisfied with the attention they received. It’s incredibly motivating to see my efforts make a difference.",Positive,2024-09-03 04:35:34,10,Negative Journal 94
95,exercises/1/2024_09_20/Landmark_1_brian.mp3,"After a challenging week, seeing a patient show signs of recovery feels rewarding. The satisfaction on their face is a reminder of why I chose this field.",Positive,2024-09-16 11:55:06,11,Negative Journal 95
96,exercises/1/2024_09_20/Landmark_1_brian.mp3,Another successful day! A patient expressed gratitude for the time and care I provided. Their feedback brought a real sense of fulfillment.,Positive,2024-09-04 03:48:36,11,Positive Journal 96
97,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, I heard from a patient who felt reassured by my treatment plan. Their confidence in me feels like the highest form of trust.",Positive,2024-09-01 11:18:45,11,Positive Journal 97
98,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, a patient expressed trust in my care, which felt incredibly validating. Their words reinforced my dedication to patient-centered treatment.",Positive,2024-09-22 12:03:08,11,Positive Journal 98
99,exercises/1/2024_09_20/Landmark_1_brian.mp3,A family member approached me to thank me for the care I’ve been providing. It’s rewarding to know I’m helping bring peace to both patients and their families.,Positive,2024-09-17 09:32:40,11,Negative Journal 99
100,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, I felt a deep sense of accomplishment when a patient expressed their trust and gratitude. It’s truly fulfilling to be part of their healing process.",Positive,2024-08-30 04:31:48,11,Negative Journal 100
101,exercises/1/2024_09_20/Landmark_1_brian.mp3,Receiving positive feedback about the treatment we provided was uplifting. It reminds me of the difference compassionate care can make.,Positive,2024-08-28 12:33:02,11,Negative Journal 101
102,exercises/1/2024_09_20/Landmark_1_brian.mp3,I felt a strong sense of connection with a patient who acknowledged the impact of our care on their healing journey. It’s the best kind of feedback.,Positive,2024-09-07 21:59:30,11,Negative Journal 102
103,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, a patient praised our team’s efforts, saying they felt genuinely cared for and appreciated. It’s moments like these that bring fulfillment to my work.",Positive,2024-08-29 06:25:01,12,Negative Journal 103
104,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, I saw a patient’s recovery progress in ways that felt truly inspiring. They thanked me for the compassionate care I provided, saying it helped them feel supported throughout their treatment. It’s moments like these that remind me why I’m here.",Positive,2024-09-07 03:33:22,12,Negative Journal 104
105,exercises/1/2024_09_20/Landmark_1_brian.mp3,"A patient’s family expressed their gratitude today, noting how much our team’s dedication meant to them during a difficult time. It’s always encouraging to see families recognize the work we put into patient care. Knowing we’ve helped bring peace to their lives is so rewarding.",Positive,2024-09-16 22:38:50,12,Negative Journal 105
106,exercises/1/2024_09_20/Landmark_1_brian.mp3,I felt deeply appreciated when a patient complimented the thoughtful attention they received from our team. Hearing their positive feedback reinforced the importance of showing empathy every day. I feel grateful to be able to make a meaningful impact.,Positive,2024-09-10 02:31:47,12,Negative Journal 106
107,exercises/1/2024_09_20/Landmark_1_brian.mp3,"One of my patients shared that they felt truly cared for and comfortable with our team’s approach to treatment. Their recovery has been a long journey, and seeing them trust the process means a lot. I’m thankful to play a part in their healing.",Positive,2024-09-20 15:06:49,12,Negative Journal 107
108,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, I saw real progress in a patient’s recovery and felt proud of the role I played in their journey. The patient expressed sincere appreciation for my compassionate care, which made me feel connected to the purpose behind my work.",Positive,2024-09-07 02:52:31,12,Negative Journal 108
109,exercises/1/2024_09_20/Landmark_1_brian.mp3,A family member stopped by to thank me for the positive care experience their loved one received. It’s uplifting to know our efforts make patients feel safe and supported. Their gratitude brought a smile to my face and fueled my motivation.,Positive,2024-09-12 17:28:43,12,Negative Journal 109
110,exercises/1/2024_09_20/Landmark_1_brian.mp3,I saw a patient make remarkable progress in their treatment today. Their family was overjoyed and thanked me for my dedication to their recovery. It’s a wonderful feeling to know that our team’s efforts are appreciated and trusted. This kind of feedback makes all the hard work worth it.,Positive,2024-09-10 05:28:21,12,Negative Journal 110
111,exercises/1/2024_09_20/Landmark_1_brian.mp3,"A patient shared that they feel hopeful and positive about their treatment after our recent sessions. Their optimism is inspiring, and it fills me with pride to be part of their healing journey. Knowing that my encouragement has helped them find confidence in their progress is incredibly rewarding. It’s these uplifting moments that make every challenge worthwhile.",Positive,2024-09-08 07:00:19,12,Negative Journal 111
112,exercises/1/2024_09_20/Landmark_1_brian.mp3,"A patient today thanked me for listening to their concerns and adapting the treatment plan to fit their needs. Their words were a reminder of the importance of empathy and flexibility in care. They felt truly heard, which is something I always aim for. It was a fulfilling moment that reinforced my commitment to patient-centered care.",Positive,2024-09-14 08:11:12,12,Negative Journal 112
113,exercises/1/2024_09_20/Landmark_1_brian.mp3,A patient’s family expressed their gratitude for the compassionate care their loved one received during a difficult time. It’s so fulfilling to know that our work not only helps patients but also brings peace to their families. Their gratitude gave me the energy to keep pushing forward. Days like today remind me how important this work truly is.,Positive,2024-08-28 10:29:31,13,Negative Journal 113
114,exercises/1/2024_09_20/Landmark_1_brian.mp3,"One of my patients today thanked me for explaining the treatment plan in detail, which helped ease their anxiety. They said they felt empowered and informed, and I could see a shift in their confidence. Knowing I helped make their journey smoother is deeply satisfying. It’s moments like these that show me the impact of empathy and communication.",Positive,2024-08-26 15:54:41,13,Negative Journal 114
115,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, I witnessed a patient make strides in their recovery, and they thanked me for my encouragement and support. Their success felt like my success, too, and I couldn’t help but feel proud of them. Seeing the joy and relief in their eyes reminded me of why I’m here. This connection is what makes every day meaningful.",Positive,2024-09-17 11:01:38,14,Negative Journal 115
116,exercises/1/2024_09_20/Landmark_1_brian.mp3,"A patient’s family member today expressed how grateful they were for the compassion and dedication we showed their loved one. They mentioned feeling at peace, knowing their family member was in good hands. Their trust means a lot and reinforces the importance of our work. I left feeling deeply motivated and grateful for their kindness.",Positive,2024-09-05 09:55:54,15,Negative Journal 116
117,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, a patient thanked me for going the extra mile to make their stay comfortable. They mentioned that even though the treatment was challenging, my support made a real difference. It was heartwarming to hear that my efforts didn’t go unnoticed. These moments make the hard work feel rewarding.",Positive,2024-09-13 05:58:26,15,Negative Journal 117
118,exercises/1/2024_09_20/Landmark_1_brian.mp3,"A patient told me today that they felt like they were treated as a person and not just a case. Their words touched me deeply, reminding me of the value of human connection in healthcare. It’s fulfilling to know that my approach helped them feel valued. This connection is what drives me to bring my best every day.",Positive,2024-09-15 13:04:52,16,Positive Journal 118
119,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, I had a heartfelt conversation with a patient who shared how our care has helped them feel hopeful and optimistic. Their gratitude was incredibly touching, and I felt privileged to be part of their healing journey. It’s these conversations that bring meaning to my work. Knowing I made a positive impact on their outlook means so much.",Positive,2024-08-29 12:30:53,16,Negative Journal 119
120,exercises/1/2024_09_20/Landmark_1_brian.mp3,A patient expressed how grateful they were for my attention to detail and patience during a tough treatment. Their kind words reaffirmed that my efforts to provide thorough care make a real difference. Seeing them uplifted despite the challenges was inspiring. It reminded me that every small gesture counts.,Positive,2024-09-11 19:56:26,16,Negative Journal 120
121,exercises/1/2024_09_20/Landmark_1_brian.mp3,"One of my patients today expressed that they felt genuinely cared for, not just treated. It’s fulfilling to know that my approach helps build trust and makes them feel secure. Their feedback reinforced the importance of compassion in care. It’s moments like these that give purpose to the work we do.",Positive,2024-09-06 08:20:01,16,Positive Journal 121
122,exercises/1/2024_09_20/Landmark_1_brian.mp3,"Today, a patient thanked me for my kindness and patience throughout their treatment. They said it was comforting to have someone they could rely on during such a challenging time. Knowing I helped ease their experience felt deeply rewarding. This is the kind of impact I aim for in every interaction.",Positive,2024-09-09 10:34:59,16,Positive Journal 122
